tconst averageRating numVotes
1000717942 1606851054 1427821762
1000719123 296106993 1771802022
1000719466 748886265 808142553
1000720379 220645176 1713126260
1000723604 1266359958 1407755468
1000723993 1380935213 1874255236
1000724852 1242264039 269186853
1000725537 1380935213 1575536759
1000725937 1231609043 1427821762
1000727509 220645176 105565868
1000727881 55896884 1111555662
1000728490 1266359958 324066135
1000730406 492306891 1466208520
1000731556 1242264039 1767684553
1000734225 508765189 1111555662
1000735082 1689813014 1930345500
1000736101 1943046654 1724282213
1000739128 1397408430 1479557939
1000739482 61197209 1427821762
1000742320 1242264039 1427821762
1000745652 296106993 1967417949
1000746040 1121467465 736639923
1000752579 1943046654 2103533408
1000758462 1845831679 1426033548
1000760904 389407232 2124332529
1000761057 1834528096 1111555662
1000761383 648300748 2009547602
1000761736 1513502347 1771802022
1000762210 1266359958 833090460
10007625 61197209 1738205456
1000762741 1222142432 605272321
1000766047 1116697199 648711808
1000768095 489106386 7601776
1000769030 51475912 1379405524
1000769467 1943046654 648711808
1000769709 1914318774 648711808
1000770133 1242264039 858342697
1000774852 220645176 648711808
1000775942 1380935213 2009547602
100077725 1101107360 952218650
1000778508 1942876833 506985877
1000779715 492306891 891442865
1000780269 1948897126 970554427
100078034 1513502347 989224826
1000784525 489106386 1967417949
1000785091 1914318774 970064216
1000785645 489106386 2006574170
1000785975 1329013187 804264386
1000788861 1807934382 677004469
1000791216 1242264039 2036005724
1000792284 1101107360 1833922075
1000793355 1121467465 487995787
1000795123 492306891 1739056251
1000796272 1834528096 1115861663
100079638 1724116551 1426033548
1000800946 1834528096 1738205456
1000805223 1329013187 1381179693
1000805376 61197209 1738205456
1000806661 1123488410 390270179
1000807433 296106993 650850574
100080883 1116697199 750775706
1000809274 1231609043 868024982
1000809630 1807934382 1771802022
1000810165 1101107360 736639923
1000810894 61197209 1427821762
1000811479 1231609043 1739056251
1000816125 1222142432 1479557939
1000817094 1575002568 99681380
1000819973 1834528096 189626870
1000823210 748886265 1014880320
1000823350 1390020420 1967417949
100082433 1231609043 677004469
1000824545 1836883491 1989173117
1000831373 1231609043 808142553
100083600 296106993 853757737
1000837702 1242264039 1426033548
1000838828 748886265 553370833
1000842562 1416479967 1426033548
100084290 225050775 344721888
1000845227 1231609043 577623442
1000847062 1510676963 853757737
1000852280 1329013187 1437125105
1000853514 220645176 1479557939
1000855352 1834528096 506985877
1000855840 1325776324 677004469
1000855962 55896884 1930345500
1000857848 1724116551 1111555662
1000861090 1397408430 1362029604
1000862381 1510676963 1738205456
1000863743 565257480 2006574170
100086487 1266359958 1351683603
1000868446 1807934382 1427821762
1000868682 1231609043 483246962
1000872003 1513502347 1738205456
1000874672 220645176 958604105
1000875169 1266359958 1783986610
100087656 61197209 2009547602
100088049 61197209 853757737
1000880913 1807934382 2006574170
1000882167 220645176 306832351
1000888461 51475912 1998393807
1000890208 1566751959 2103533408
1000890413 1566751959 1967417949
1000891303 55896884 650850574
1000893327 1380935213 2009547602
1000894720 61197209 1629789335
1000897423 1943046654 1648999166
1000897893 1266359958 107154374
1000899445 1397781986 1593375463
100090004 1242264039 1427821762
1000900402 492306891 730294304
1000906870 492306891 610975882
1000909369 1943046654 1408530949
1000909538 1943046654 1771802022
1000915076 1845831679 7601776
1000915236 1231609043 534699180
1000915324 1619063395 1616405858
1000915933 748886265 1738205456
1000917626 748886265 804264386
1000918033 51475912 1427821762
1000918077 1807934382 88220196
1000918652 296106993 1593375463
100091892 1942876833 1014880320
100092020 1836883491 1426033548
1000921310 605482159 496897235
1000923078 1231609043 558296571
1000923385 1378392855 2001215413
1000923778 508765189 1083607329
1000929075 748886265 1152398160
1000929478 61197209 1680150161
1000931275 1717409078 1426033548
1000931378 1566751959 730294304
1000935839 565257480 2131883329
1000936804 276412279 1427821762
1000937600 489106386 1003410926
1000939611 1121467465 447411043
1000940491 1717409078 487995787
1000942507 599222534 2103533408
1000942674 1513502347 1427821762
1000943023 1121467465 2074509339
1000945795 1242264039 1437125105
1000948016 748886265 1938527430
1000949306 1222142432 1648999166
1000952133 719225004 1426033548
1000953110 1101107360 1003410926
1000954754 1807934382 1479557939
1000955324 1717409078 1427821762
100095618 51475912 991787581
1000957814 1380935213 677004469
1000959563 276412279 1427821762
1000961164 1999382690 1593375463
1000961623 492306891 736639923
1000962080 1807934382 1930345500
1000963622 296106993 730294304
1000964440 1943046654 1782156887
1000965033 1266359958 2006574170
1000965114 492306891 730294304
1000965976 1231609043 1003410926
1000968428 1834528096 483246962
1000968468 886594069 1014880320
10009688 1943046654 730294304
1000973027 1380935213 150343006
1000975321 1606851054 487995787
