tconst parentTconst seasonNumber episodeNumber
1000088286 243464069 1935597282 277511426
1000088358 1230997336 1076155389 1906157682
1000088416 1362436458 1935597282 946958533
1000088723 851092277 1935597282 960075877
1000089082 1046603676 1935597282 854882170
1000089283 125584396 1935597282 510687177
1000089889 915991653 1935597282 510687177
1000090011 1929637964 1906157682 1202357670
100009024 138635683 1835948449 551850890
1000090245 280074005 277511426 195094073
1000090279 296466136 1935597282 719457268
1000090750 2122235827 1935597282 530870204
1000090834 1300100156 1935597282 995917468
1000090843 267749126 1935597282 1125156736
100009089 1912337204 1935597282 2082222477
1000091071 1197284752 69957371 263815072
1000091516 1339397295 1935597282 1027055061
1000092296 287222638 1935597282 771650112
1000092446 1699961010 1935597282 427778729
100009247 716312839 1935597282 695182770
100009273 1223236015 1935597282 1935597282
1000093118 569456492 1906157682 1884490263
1000093132 659833068 1935597282 1935597282
1000093462 1888892064 1935597282 1076155389
1000093706 98993321 1935597282 1082965668
1000093724 1384610026 1935597282 1470507561
1000094385 992592083 1906157682 1262379872
100009515 494077572 2093227591 2093227591
1000095189 927059631 2093227591 2093227591
1000095230 1319317288 2093227591 2093227591
1000095262 939532183 1935597282 1835948449
1000095423 289721752 2093227591 2093227591
1000095599 1859386860 2093227591 2093227591
1000095661 494077572 2093227591 2093227591
100009573 1315942652 2093227591 2093227591
1000095824 320471065 2093227591 2093227591
1000096121 1779046588 1906157682 1935597282
1000096131 1269155151 2093227591 2093227591
100009633 1844336738 2093227591 2093227591
1000096376 1961770002 2093227591 2093227591
1000096721 1333821305 2093227591 2093227591
1000096934 724923311 1935597282 1120924558
1000097075 1735696057 2093227591 2093227591
1000097138 1470207245 2093227591 2093227591
1000097600 1311460422 2093227591 2093227591
1000097853 1564406956 344075432 1906157682
1000098607 306234942 1935597282 1906157682
100009891 11626116 1935597282 1948328691
1000099186 1735696057 2093227591 2093227591
1000099296 258408028 1906157682 1937527650
1000099525 1227486894 1935597282 1945353820
1000099832 870700728 2093227591 2093227591
1000099960 1988199196 1935597282 1296460517
1000099983 397803898 1935597282 1076155389
1000100264 2106434962 1296460517 1945353820
1000100308 1315942652 2093227591 2093227591
1000100366 1925319934 1935597282 1005901381
1000100624 149435064 1935597282 806422945
1000100808 596915502 2093227591 2093227591
1000100971 2014823796 1921644518 513439921
1000101450 1835434463 2093227591 2093227591
1000101952 366035128 1935597282 1858765191
1000101964 1197960615 1935597282 1969069028
100010222 1774227119 510687177 513439921
1000102227 1225102897 510687177 1574495735
1000102239 477194030 1906157682 709462510
1000102592 1357328394 644545014 1587194461
1000102655 1867308963 1906157682 1125156736
1000102812 819917224 1935597282 344075432
1000102832 1315780393 1076155389 1498328245
