nconst primaryName birthYear deathYear primaryProfession knownForTitles
1000030972 1267743739 2126297961 2126297961 641601868 1988031466
1000030987 765864535 2126297961 2126297961 2094793598 398283188
1000031380 1756124596 2126297961 2126297961 641601868 872521947
1000031393 1674372275 2126297961 2126297961 1502025314 1240453760
1000031821 627729714 2126297961 2126297961 499481334 758161960
1000032022 469298113 823101863 2126297961 1479731877 1871044223
1000032186 1384222844 2126297961 2126297961 641601868 946083511
100003257 1977473059 2126297961 2126297961 41136847 436581585
100003268 323659575 2126297961 2126297961 1897236228 2101154554
1000032726 455466230 2126297961 2126297961 318302405 200400458
1000032787 226594417 2126297961 2126297961 1181129578 194433285
1000032995 104887465 2126297961 2126297961 922287471 1284655950
1000033205 1327335055 2126297961 2126297961 641601868 607335729
1000033250 1150473949 2126297961 2126297961 48867219 2126297961
1000033312 1884411944 2126297961 2126297961 313750571 2090839853
1000033361 758735861 2126297961 2126297961 48867219 2126297961
1000033729 926711647 2126297961 2126297961 641601868 83528656
1000033731 1385370822 2126297961 2126297961 90579072 1405657671
100003383 221656116 2126297961 2126297961 845616205 1532152467
1000033935 1683448366 2126297961 2126297961 1413423995 1868637780
100003395 508765195 2126297961 2126297961 1897236228 2085851586
100003400 1491589962 2126297961 2126297961 48867219 2126297961
1000034246 1220538354 2126297961 2126297961 641601868 1847189844
1000034849 1965589864 81182566 2126297961 962121930 233716164
100003489 1751975029 2126297961 2126297961 1292526612 1097824294
1000034904 507297788 2126297961 2126297961 90579072 67135389
1000034967 2568552 2126297961 2126297961 48867219 2126297961
1000035020 1693787990 2126297961 2126297961 36366385 775582974
100003503 611415537 1643082589 2126297961 90579072 963363901
1000035076 857456280 2126297961 2126297961 48867219 2126297961
1000035119 1586297197 2126297961 2126297961 36366385 882423822
1000035142 1210574604 2126297961 2126297961 1190972371 1162836085
1000035425 1757765133 2126297961 2126297961 1190972371 1025231151
1000035437 1462307809 2126297961 2126297961 1637109413 1972622770
1000035457 1168494193 2126297961 2126297961 1897236228 1095008520
1000035494 293828429 2126297961 2126297961 90579072 1919665531
1000035798 1515453604 2126297961 2126297961 48867219 2126297961
1000035802 749828711 1343748315 2126297961 168200760 1832696427
1000035976 980760966 2126297961 2126297961 289259722 1098542304
1000035987 475154329 2126297961 2126297961 1787049702 584760888
1000036005 919554941 2126297961 2126297961 2017513776 1357002232
100003629 710612518 2126297961 2126297961 48867219 2126297961
1000036515 721854123 2126297961 2126297961 90579072 1593860854
100003678 82387459 2126297961 2126297961 1980261319 770687772
1000036851 529720310 2126297961 2126297961 48867219 332345950
1000037110 2142146839 2126297961 2126297961 1901334298 1284638080
100003726 336370273 2126297961 2126297961 90579072 1232896898
1000037435 1629535074 2126297961 2126297961 48867219 2126297961
1000037465 1106523554 2126297961 2126297961 641601868 1624424848
1000037796 892763571 1462239503 2126297961 326814554 1782336734
1000037856 2096887183 2126297961 2126297961 90579072 2126297961
1000037925 1111513132 2126297961 2126297961 1190972371 366800294
1000038059 813157717 2126297961 2126297961 356600733 1179805670
1000038643 1835585251 2126297961 2126297961 1190972371 1714292309
1000038731 239360628 2126297961 2126297961 48867219 827880723
1000038762 649409908 2126297961 2126297961 1190972371 1435131527
1000038834 1408607873 2126297961 2126297961 90579072 607178766
1000039014 1488418866 2126297961 2126297961 641601868 2008713235
